1778367901.570011992,212.68
1778367901.746897435,166.78
1778367901.900913951,144.42
1778367902.052688035,141.91
1778367902.203140683,143.62
1778367902.368059682,146.08
1778367902.527560416,147.80
1778367902.709836225,147.84
1778367902.862379474,148.24
1778367903.013360287,147.93
1778367903.176442027,146.50
1778367903.329685131,145.25
1778367903.481478913,142.73
1778367903.634095724,141.95
1778367903.787247319,141.78
1778367903.940908404,141.23
1778367904.093573971,141.20
1778367904.249113277,138.88
1778367904.402077013,136.44
1778367904.555245229,131.66
1778367904.706865603,126.83
1778367904.858370235,124.44
1778367905.011438597,119.54
1778367905.166510844,114.60
1778367905.319200022,114.46
1778367905.471089969,114.45
1778367905.636107410,114.41
1778367905.787558375,114.30
1778367905.942511286,114.26
1778367906.095396618,114.21
1778367906.248769396,114.23
1778367906.405121746,114.21
1778367906.557782597,114.19
1778367906.709025384,114.14
1778367906.866258210,114.22
1778367907.037756786,114.22
1778367907.192022773,114.22
1778367907.351663159,114.23
1778367907.517669256,114.16
1778367907.677023524,114.31
1778367907.842508292,114.35
1778367907.993143196,114.36
1778367908.143163343,114.39
1778367908.293526218,114.39
1778367908.446151083,114.43
1778367908.597252487,114.47
1778367908.840118741,114.42
1778367908.991720555,114.35
1778367909.160950781,114.40
1778367909.312528227,114.39
1778367909.487817072,114.38
1778367909.638881209,114.32
1778367909.791325662,114.15
1778367909.945637256,114.11
1778367910.101563767,114.08
1778367910.263711902,114.02
1778367910.412194687,114.04
1778367910.569839042,114.03
1778367910.726868026,114.89
1778367910.900458752,115.84
1778367911.048723060,116.15
1778367911.205602426,116.18
1778367911.358887865,116.26
1778367911.513793327,116.32
1778367911.658340614,116.02
1778367911.812779849,115.17
1778367911.965920404,114.49
1778367912.118394624,114.45
1778367912.273029503,114.41
1778367912.425001308,114.33
1778367912.577793264,114.28
1778367912.734606126,114.23
1778367912.887384680,114.13
1778367913.043915494,113.96
1778367913.214112626,113.88
1778367913.383517071,113.79
1778367913.551141531,113.76
1778367913.704450128,113.69
1778367913.864902645,113.77
1778367914.019346138,113.78
1778367914.174140555,113.73
1778367914.327357333,114.01
1778367914.484293978,114.83
1778367914.644829318,115.82
1778367914.798669406,116.96
1778367914.957071913,119.21
1778367915.119599987,123.19
1778367915.277714537,148.79
1778367915.440249635,200.54
1778367915.599044662,224.72
1778367915.771378847,273.47
1778367915.934361670,320.92
1778367916.102308808,368.37
1778367916.267686721,392.21
1778367916.435633472,390.55
1778367916.593201337,390.96
1778367916.748494848,390.38
1778367916.907281986,390.15
1778367917.071231400,390.41
1778367917.235642285,390.68
1778367917.424967812,390.31
1778367917.595310830,390.23
1778367917.763679038,390.23
1778367917.919132788,391.30
1778367918.083259304,390.45
1778367918.246067306,390.43
1778367918.411299842,390.99
1778367918.577822311,391.20
1778367918.743752898,390.67
1778367918.903214931,391.03
1778367919.064980316,390.47
1778367919.230546811,389.93
1778367919.394330013,389.77
1778367919.552328713,389.57
1778367919.717007876,375.83
1778367919.878674313,329.75
1778367920.033533926,284.47
