1778367685.477422377,109.05
1778367685.693516827,109.23
1778367685.848701376,109.93
1778367686.099602877,114.43
1778367686.258414487,121.38
1778367686.416992360,126.82
1778367686.574598795,129.47
1778367686.730651156,134.55
1778367686.889710807,139.15
1778367687.041509040,140.78
1778367687.187867090,138.87
1778367687.340202737,137.94
1778367687.494932327,137.96
1778367687.652791143,137.96
1778367687.809355668,137.97
1778367687.968385138,138.04
1778367688.126872003,132.89
1778367688.283428008,130.20
1778367688.445210312,124.83
1778367688.608906987,119.43
1778367688.762187954,113.97
1778367688.921773455,111.21
1778367689.075699883,108.21
1778367689.230931996,108.14
1778367689.386557679,108.15
1778367689.550502229,108.12
1778367689.712148649,108.14
1778367689.869376613,108.19
1778367690.023395923,108.18
1778367690.186367771,108.18
1778367690.341333576,108.10
1778367690.497960968,108.03
1778367690.648722065,107.94
1778367690.812777943,107.90
1778367690.969777552,107.82
1778367691.124495780,107.79
1778367691.280455003,107.83
1778367691.438765629,107.80
1778367691.585653615,107.81
1778367691.739283704,107.79
1778367691.895505243,107.79
1778367692.054263948,107.75
1778367692.215507463,107.76
1778367692.373568495,107.75
1778367692.526619327,107.77
1778367692.680607998,107.87
1778367692.826875473,107.92
1778367692.982893586,107.99
1778367693.140369654,108.02
1778367693.294209818,108.03
1778367693.440027710,108.11
1778367693.588612169,108.18
1778367693.756857513,108.49
1778367693.920069014,108.66
1778367694.075054900,108.83
1778367694.233631570,109.04
1778367694.384980600,109.08
1778367694.539706482,109.06
1778367694.699351924,108.81
1778367694.852872010,108.75
1778367695.014454068,108.58
1778367695.168952725,108.32
1778367695.322622203,108.24
1778367695.480816393,108.18
1778367695.636043293,108.10
1778367695.791591270,108.10
1778367695.945220534,108.13
1778367696.091297838,108.13
1778367696.252408878,108.16
1778367696.407984072,108.20
1778367696.564814383,108.23
1778367696.717625475,108.21
1778367696.880713334,108.23
1778367697.034984681,108.30
1778367697.200997827,108.36
1778367697.351419184,108.37
1778367697.503903332,108.31
1778367697.656270515,108.31
1778367697.813380785,108.30
1778367697.969438410,108.21
1778367698.121839497,108.06
1778367698.274380373,108.00
1778367698.439531958,107.98
1778367698.592149749,107.94
1778367698.745164507,107.94
1778367698.906810848,107.93
1778367699.073749729,107.95
1778367699.227360244,107.98
1778367699.384011778,108.03
1778367699.540259821,108.05
1778367699.692439122,108.09
1778367699.847526999,108.10
1778367700.005621876,108.14
1778367700.158560869,108.15
1778367700.310153777,108.15
1778367700.461854601,108.12
1778367700.618783461,108.14
1778367700.777626412,108.14
1778367700.933064869,108.11
1778367701.090981467,108.05
1778367701.245493443,108.06
1778367701.402309068,108.08
1778367701.555460430,108.08
1778367701.709616482,108.05
1778367701.863770047,108.05
1778367702.016590471,108.18
1778367702.172194996,108.26
1778367702.329074829,108.33
1778367702.482134168,108.37
1778367702.639249162,108.40
1778367702.796433393,108.45
1778367702.949335329,108.42
1778367703.101528179,108.40
1778367703.255302942,108.28
1778367703.414400762,108.24
1778367703.573489825,108.23
1778367703.727293432,108.19
1778367703.882018494,108.10
1778367704.040371672,108.07
1778367704.192856241,108.03
1778367704.348597337,108.02
1778367704.630155989,108.06
1778367704.849640090,108.11
1778367705.024773759,108.13
1778367705.184186189,108.17
1778367705.334330094,108.17
1778367705.485924323,108.15
1778367705.636269508,108.12
1778367705.791908059,108.04
1778367705.944747867,107.99
1778367706.100859807,107.99
1778367706.256947054,107.92
1778367706.416244358,107.93
1778367706.582332617,107.96
1778367706.735281306,107.96
1778367706.896037640,107.98
1778367707.046802508,108.47
1778367707.216726006,108.58
1778367707.381276933,108.64
1778367707.534852418,108.66
1778367707.689982667,108.69
1778367707.848727933,108.73
1778367708.009609251,108.34
1778367708.167331549,108.30
1778367708.328819696,108.29
1778367708.489119611,108.33
1778367708.648220655,108.39
1778367708.809623132,108.40
1778367708.966847266,108.41
1778367709.122902585,109.28
1778367709.280073068,116.91
1778367709.440459674,144.81
1778367709.598808549,191.61
1778367709.769738093,243.11
1778367709.937643117,294.55
1778367710.132542350,344.93
1778367710.293487167,388.73
1778367710.453142114,392.38
1778367710.619256914,392.15
1778367710.784098290,393.08
1778367710.949844171,392.81
1778367711.117347546,393.13
1778367711.280480435,394.22
1778367711.441194723,394.01
1778367711.606219387,395.12
1778367711.773991681,395.61
1778367711.944124790,395.14
1778367712.102369900,396.16
1778367712.269805724,395.39
1778367712.428103743,395.38
1778367712.598328083,393.98
1778367712.758820464,394.11
1778367712.924485474,394.37
1778367713.088757473,393.39
1778367713.251399771,391.57
1778367713.413129374,391.39
1778367713.576967874,391.41
1778367713.739745784,391.45
1778367713.911600160,391.37
1778367714.072452511,391.76
1778367714.237511310,393.06
1778367714.410135630,393.88
1778367714.574365097,392.65
1778367714.755246873,391.86
1778367714.931220170,391.80
1778367715.101558131,390.88
1778367715.263307401,390.63
1778367715.430952968,390.57
1778367715.602199389,392.60
1778367715.769918907,391.22
1778367719.529712737,391.68
1778367719.716085850,392.66
1778367719.880242982,393.16
1778367720.048698632,394.02
1778367720.206618385,392.86
1778367720.370083854,393.83
1778367720.534850445,394.46
1778367720.699329061,394.01
1778367720.852940550,393.71
1778367721.011783553,393.99
1778367721.175876259,394.12
1778367721.343083224,394.05
1778367721.507247890,371.08
1778367721.674608509,324.92
