1778367857.753625830,224.68
1778367857.963155316,200.92
1778367858.115735704,177.20
1778367858.279902161,166.61
1778367858.444276935,146.78
1778367858.604371570,147.60
1778367858.762177193,148.41
1778367858.922787170,148.84
1778367859.080747277,149.20
1778367859.241857751,147.99
1778367862.997004048,146.42
1778367863.162119536,146.25
1778367863.323419925,146.21
1778367863.483876983,146.26
1778367863.646904069,146.25
1778367863.805644067,145.13
1778367863.966644691,142.54
1778367864.135057240,140.95
1778367864.291068878,156.32
1778367864.516149526,179.91
1778367864.716316036,215.38
1778367864.918831546,241.24
1778367865.112009930,267.09
1778367865.335866757,275.28
1778367865.529806460,273.44
1778367865.695315876,273.72
1778367865.878886916,274.27
1778367866.079253018,272.73
1778367866.301057786,272.34
1778367866.500246772,273.58
1778367866.691988797,272.02
1778367866.884920237,271.02
1778367867.056198875,271.04
1778367867.252362231,270.72
1778367867.449067082,256.05
1778367867.605713814,245.33
1778367867.756921652,221.68
