1778367733.840119815,326.73
1778367733.962758497,280.65
1778367734.116054145,234.44
1778367734.266258543,212.22
1778367734.427641123,168.55
1778367734.597394537,145.85
1778367734.742550818,146.18
1778367734.897100954,146.05
1778367735.049450825,145.92
1778367735.211499886,145.27
1778367735.369001029,142.58
1778367735.523409312,140.65
1778367735.694055935,140.64
1778367735.850834281,140.63
1778367736.005660272,140.62
1778367736.157725030,140.66
1778367736.317583632,138.46
1778367736.474378639,133.61
1778367736.635790137,128.72
1778367736.791454954,123.65
1778367736.945828498,121.13
1778367737.115535146,116.03
1778367737.277717414,113.28
1778367737.434834235,113.18
1778367737.592336202,113.09
1778367737.754314905,113.06
1778367737.912410042,113.06
1778367738.071372544,113.06
1778367738.225995639,113.01
1778367738.399759756,112.99
1778367738.557482577,112.90
1778367738.710325327,112.87
1778367738.862493111,112.77
1778367739.014843921,112.74
1778367739.176313241,112.70
1778367739.332751606,112.74
1778367739.495242756,112.83
1778367739.651268476,112.85
1778367739.811593233,112.94
1778367739.970142818,112.96
1778367740.129964979,112.96
1778367740.289080728,112.89
1778367740.443569042,112.66
1778367740.600129551,112.52
1778367740.758494960,112.39
1778367740.912387648,112.36
1778367741.069595514,112.38
1778367741.220979324,112.36
1778367741.376149883,112.47
1778367741.537344507,112.51
1778367741.690460203,112.52
1778367741.850452411,112.37
1778367742.013358411,112.23
1778367742.179168016,112.18
1778367742.331493260,112.13
1778367742.484136300,112.04
1778367742.635529488,111.99
1778367742.787412067,112.00
1778367742.940063853,112.07
1778367743.094443357,112.01
1778367743.251105991,111.95
1778367743.412170448,111.93
1778367743.568329841,111.87
1778367743.726370503,111.86
1778367743.887191691,111.79
1778367744.045103949,111.77
1778367744.199678091,111.79
1778367744.358972009,111.70
1778367744.513058585,111.66
1778367744.664783901,111.58
1778367744.827864722,111.53
1778367744.986989560,111.51
1778367745.149488652,111.48
1778367745.313524983,111.48
1778367745.476404935,111.58
1778367745.638297991,111.70
1778367745.794730524,111.69
1778367745.952388103,111.70
1778367746.113325295,111.70
1778367746.268594858,111.70
1778367746.420874505,111.62
1778367746.583724262,111.58
1778367746.740637889,111.51
1778367746.917868861,111.47
1778367747.074705844,111.51
1778367747.231253797,111.62
1778367747.384808955,111.67
1778367747.541554160,111.79
1778367747.704090019,111.83
1778367747.864484412,111.89
1778367748.022569671,111.91
1778367748.178521619,111.86
1778367748.338797364,111.73
1778367748.497464574,111.63
1778367748.652962951,111.63
1778367748.818922912,111.55
1778367749.032566366,111.42
1778367749.188633414,111.43
1778367749.351263432,111.52
1778367749.510252106,111.56
1778367749.664712176,111.52
1778367749.820047481,111.56
1778367749.975497606,111.60
1778367750.133003085,111.68
1778367750.280581159,111.67
1778367750.433665327,111.67
1778367750.589967056,111.73
1778367750.757212717,111.73
1778367750.910718301,111.72
1778367751.069625513,111.71
1778367751.240536585,111.65
1778367751.393230103,111.59
1778367751.548748673,111.50
1778367751.708770572,111.46
1778367755.448035489,111.39
1778367755.610384516,111.29
1778367755.770661963,111.20
1778367755.933253465,111.20
1778367756.091024883,111.21
1778367756.243729631,111.21
1778367756.398957111,111.18
1778367756.560761141,111.19
1778367756.718769623,111.14
1778367756.883622560,111.17
1778367757.036582779,111.21
1778367757.189577285,111.20
1778367757.351010717,111.38
1778367757.584774256,111.42
1778367757.728828018,111.47
1778367757.923742556,112.26
1778367758.088447437,119.96
1778367758.254899117,133.73
1778367758.452755697,159.41
1778367758.653197920,187.15
1778367758.856241383,228.73
1778367759.059568497,248.72
1778367759.260686226,263.38
1778367759.474693439,265.52
1778367759.692440619,265.14
1778367759.891439132,263.56
1778367760.103512838,261.20
1778367760.281927340,259.19
1778367760.462650012,258.00
1778367760.660817303,256.79
1778367760.851546315,256.70
1778367761.038545854,258.22
1778367761.244670702,259.05
1778367761.447122047,259.60
1778367761.649639235,260.77
1778367761.833717587,261.45
1778367762.055458043,260.66
1778367762.230534304,261.35
1778367762.442749392,260.66
1778367762.670216868,255.87
1778367762.833483258,244.62
